,Rank,Country,2020,2019,2018,2017,2016
0,1,Brazil,121797712,114316829.0,117912450.0,114732101.0,96394820.0
1,2,United States,112549240,96667090.0,120514490.0,120064970.0,116931500.0
2,3,Argentina,48796661,55263891.0,37787927.0,54971626.0,58799258.0
3,4,China,19600000,18100000.0,15967100.0,15282500.0,12788894.0
4,5,India,11226000,13267520.0,10932970.0,13158730.0,13159000.0
5,6,Paraguay,11024460,8520350.0,11045971.0,10478000.0,9163030.0
6,7,Canada,6358500,6145000.0,7416600.0,7716600.0,6596500.0
7,8,Russia,4307593,4359956.0,4026850.0,3621712.0,3142693.0
8,9,Bolivia,2829356,2990845.0,2942131.0,2671046.0,3203992.0
9,10,Ukraine,2797670,3698710.0,4460770.0,3899370.0,4276990.0
10,11,Uruguay,1990000,2828000.0,1334000.0,3212000.0,2208000.0
11,12,South Africa,1245500,1170345.0,1540000.0,1316000.0,742000.0
12,13,Indonesia,1040000,980000.0,953571.0,538729.0,859653.0
13,14,Italy,1005630,1042830.0,1186350.0,1019781.0,1081340.0
0,15,Serbia,751578,700502.0,645607.0,461272.0,576446.0
1,16,Nigeria,600000,700000.0,660000.0,993955.0,936887.0
2,17,France,406670,428530.0,398480.0,415202.0,338955.0
3,18,Romania,353640,440120.0,492680.0,393495.0,263380.0
4,19,Zambia,296866,281389.0,302720.0,351416.0,267490.0
5,20,Croatia,266010,244280.0,245190.0,207765.0,244075.0
6,21,Kazakhstan,260639,282185.0,255437.0,252319.0,231168.0
7,22,Benin,253954,257000.0,221977.0,164761.0,156901.0
8,23,Mexico,246019,232680.0,324011.0,432927.0,509114.0
9,24,North Korea,229892,263920.0,135280.0,223325.0,282000.0
10,25,Japan,218900,217800.0,211300.0,253000.0,238000.0
11,26,Ethiopia,208676,125623.0,149455.0,86468.0,81235.0
12,27,Austria,204860,217780.0,186490.0,193416.0,152599.0
13,28,Cambodia,180000,168000.0,170000.0,168000.0,162000.0
14,28,Malawi,180000,170000.0,175475.0,208556.0,132417.0
15,30,Ghana,177007,184653.0,176700.0,170490.0,143220.0
16,31,Hungary,165760,169570.0,181240.0,179282.0,184725.0
17,32,Turkey,155225,150000.0,140000.0,140000.0,165000.0
18,33,Myanmar,145000,141939.0,143717.0,145465.0,149185.0
19,34,Iran,140000,150000.0,140000.0,130000.0,139325.0
20,35,Slovakia,132200,119660.0,106960.0,102441.0,92484.0
21,36,Colombia,119412,114056.0,92231.0,80106.0,80548.0
22,37,Bangladesh,104761,110785.0,98699.0,96921.0,92181.0
0,38,Germany,90500,84100.0,58700.0,66000.0,43000.0
1,39,South Korea,80926,105340.0,89410.0,85644.0,75448.0
2,40,Uganda,75077,117000.0,107624.0,28097.0,25730.0
3,41,Mozambique,75000,55000.0,55000.0,50000.0,47000.0
4,42,Vietnam,65405,77263.0,81348.0,101856.0,160696.0
5,43,Zimbabwe,59656,23460.0,69688.0,36478.0,47755.0
6,44,Egypt,50000,36260.0,46997.0,36388.0,45165.0
7,45,Burkina Faso,48000,51708.0,31314.0,18500.0,25851.0
8,46,Guatemala,41000,39000.0,38000.0,38000.0,38000.0
9,47,Angola,40797,37350.0,35266.0,36001.0,15740.0
10,48,Nepal,37526,31567.0,27681.0,29061.0,28917.0
11,49,Bosnia and Herzegovina,37202,23753.0,23332.0,11740.0,18662.0
12,50,Moldova,33360,64239.0,57684.0,46524.0,42125.0
13,51,Czech Republic,33020,27840.0,25260.0,37012.0,27972.0
14,52,Thailand,29231,26283.0,41165.0,42829.0,37765.0
15,53,Ecuador,27238,39515.0,25504.0,35006.0,41788.0
16,54,Democratic Republic of the Congo,26000,25044.0,24427.0,22150.0,24000.0
17,55,Cameroon,24195,23054.0,21270.0,26429.0,24558.0
18,56,Tanzania,23886,22953.0,21321.0,6135.0,6711.0
19,57,Rwanda,23755,24526.0,22809.0,23934.0,21942.0
20,58,Australia,17323,15136.0,28903.0,31335.0,29403.0
21,59,Poland,14940,15540.0,10390.0,20297.0,14747.0
22,60,Mali,14685,10440.0,6693.0,5801.0,11769.0
23,61,Laos,14550,11873.0,8380.0,7960.0,19130.0
24,62,Belize,13670,7819.0,11776.0,13037.0,7779.0
25,63,Nicaragua,10000,10000.0,5693.0,5693.0,5693.0
0,64,Venezuela,9306,22242.0,5407.0,7855.0,1720.0
1,65,Sri Lanka,7879,2197.0,2500.0,14363.0,9830.0
2,66,Uzbekistan,7460,10858.0,11399.0,6138.0,232.0
3,67,Syria,6227,2086.0,1727.0,3901.0,3550.0
4,68,Bulgaria,6200,7570.0,4730.0,20000.0,18301.0
5,69,Switzerland,5247,5350.0,3740.0,5642.0,4500.0
6,70,El Salvador,5084,5076.0,5107.0,5069.0,5052.0
7,71,Slovenia,5020,4240.0,5330.0,7713.0,7387.0
8,72,Spain,4620,5170.0,4350.0,4599.0,2869.0
9,73,Taiwan,4447,4776.0,4404.0,4674.0,3061.0
10,74,Gabon,4203,4148.0,4094.0,4047.0,3857.0
11,75,Liberia,3417,3392.0,3367.0,3346.0,3157.0
12,76,Burundi,2571,2606.0,2387.0,2167.0,2395.0
13,77,Lithuania,2560,2310.0,3450.0,,
14,78,Kenya,2396,2396.0,2398.0,2518.0,2007.0
15,79,Kyrgyzstan,2371,2835.0,2872.0,3512.0,1240.0
16,80,Georgia,2000,2000.0,2000.0,2062.0,2052.0
17,81,Greece,1840,3720.0,2520.0,8099.0,9465.0
18,82,Togo,1796,1775.0,1828.0,1784.0,1713.0
19,83,Peru,1538,1475.0,1530.0,1581.0,1371.0
20,84,Honduras,1444,1455.0,2180.0,2210.0,2200.0
21,85,East Timor,978,977.0,975.0,965.0,968.0
22,86,Morocco,727,727.0,699.0,756.0,1000.0
23,87,Philippines,554,659.0,658.0,666.0,544.0
24,88,Albania,441,605.0,744.0,500.0,664.0
25,89,Ivory Coast,401,401.0,371.0,581.0,700.0
26,90,Bhutan,234,171.0,107.0,204.0,254.0
27,91,Pakistan,152,15.0,28.0,19.0,40.0
28,92,Panama,100,100.0,99.0,100.0,101.0
29,93,Madagascar,46,46.0,46.0,47.0,46.0
30,94,Iraq,33,33.0,35.0,32.0,31.0
31,95,Luxembourg,30,,,,
32,96,Azerbaijan,29,30.0,29.0,29.0,33.0
33,97,Tajikistan,21,21.0,21.0,21.0,21.0
34,98,North Macedonia,18,18.0,85.0,34.0,1.0
35,99,Suriname,12,11.0,7.0,7.0,7.0
